FeatureID	Taxon	GordaRidge_Vent039_SUPRS1_2019	GordaRidge_Vent040_SUPRS2_2019	GordaRidge_BSW081_sterivex_2019	GordaRidge_BSW056_sterivex_2019_REPb	GordaRidge_Vent088_SUPRS3_2019	GordaRidge_Plume001_sterivex_2019_REPa	GordaRidge_Plume001_sterivex_2019_REPb	GordaRidge_Plume036_sterivex_2019_REPb	GordaRidge_Plume096_sterivex_2019	GordaRidge_Vent105_SUPRS9_2019	GordaRidge_Vent041_SUPRS3_2019	GordaRidge_Vent086_SUPRS1_2019	GordaRidge_Vent107_SUPRS11_2019	GordaRidge_Vent009_SUPRS1_2019	GordaRidge_Vent011_SUPRS3_2019	GordaRidge_Vent106_SUPRS10_2019	GordaRidge_Vent010_SUPRS2_2019	GordaRidge_Vent087_SUPRS2_2019
0445dbb935afdc053cfa47ca03c960e1	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III;Dino-Group-III_X;Dino-Group-III_XX;Dino-Group-III_XX_sp.;	0	0	0	0	149	230	90	0	0	0	0	55	283	0	0	37	29	55
044bf30ab9f855edab96a8cac7896952	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X;Pedinellales_X_sp.;	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
044fd12311e26c7e16e96c75bdbdb32a	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Dino-Group-I-Clade-3_X;Dino-Group-I-Clade-3_X_sp.;	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045bd43119bae2976cd1d9e189f89799	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0
046fb9367f955d6f6578cf3558a6564a	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-29;Dino-Group-II-Clade-29_X;Dino-Group-II-Clade-29_X_sp.;	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
04727aa6e1711b0896c419535c6ed425	Eukaryota;Alveolata;Dinoflagellata	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0
048724a9bf4b4c8a48f540f20b82e350	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa-lineage_X;Protaspa-lineage_X_sp.;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
049eac87d580bbed71493bdd1e3dc75a	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-21;Dino-Group-II-Clade-21_X;Dino-Group-II-Clade-21_X_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
04b49725c6373aac314edf942c265121	Eukaryota;Opisthokonta;Metazoa;Mollusca;Cephalopoda;Cephalopoda_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
04c51c2c566310784fa231aacfa2c07f	Unassigned	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
04c7a7c6a18ff358ea0964f97140ae40	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	86	0	0	0	0	0	0	0	28	0	0	0	0	0
04d3a4ea694b55096feec328b1db7c62	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
04f1012744f83c89c0ef5b62e87548d6	Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae_X;Embryophyceae_XX	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
04f3d236b4b31c2681278107b3d9f8e9	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III;Dino-Group-III_X;Dino-Group-III_XX;Dino-Group-III_XX_sp.;	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
050957416146953d7edf78094e7659bb	Eukaryota;Opisthokonta;Fungi;Fungi_X;Fungi_XX;Fungi_XXX;Fungi_XXXX;Fungi_XXXX_sp.;	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0513a23e7edfd787b69ed42895e9309e	Unassigned	55	59	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
051f556c4a7a15096c352c0dce5d4b6d	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
051fc2e3983d02464fcab704e612c3f2	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
